filename,prompt,ai_app,seed,before_image,type,cfg_scale,sampling_steps,sampler_name
00000-50_k_lms_1682546245_0,"concept art painting of a ruin of blue castle with asian influence, overlooking a valley, three suns at the sky, sunset, x - wings flying in the sky, realistic, star wars, detailed, cel shaded, in the style of greg rutkowski and albert bierstadt and james gurney ",web-ui,1682546245,,txt2img,7.5,50,k_lms
00001-148_k_lms_1737978901_0,"a building in a serene landscape, by greg rutkowski ",web-ui,1737978901,,txt2img,7.5,148,k_lms
00000-50_k_lms_3047810292_0,"a building in a serene landscape, by greg rutkowski ",web-ui,3047810292,,txt2img,7.5,50,k_lms
00002-148_k_lms_1640710705_0,"a building in a serene landscape, by greg rutkowski ",web-ui,1640710705,,txt2img,7.5,148,k_lms
00003-50_k_lms_4080272829_0,"a building in a serene landscape, by greg rutkowski ",web-ui,4080272829,,txt2img,5,50,k_lms
00001-51_k_lms_2513590057_0,"a building in a serene alien landscape, by greg rutkowski ",web-ui,2513590057,,txt2img,7.5,51,k_lms
00002-51_k_lms_3211380105_0,"a building in a serene alien landscape, by greg rutkowski ",web-ui,3211380105,,txt2img,7.5,51,k_lms
00000-51_k_lms_1683534064_0,"a building in a serene alien landscape, by greg rutkowski ",web-ui,1683534064,,txt2img,7.5,51,k_lms
00000-50_k_lms_2735031666_0,"a building in a serene  night on the moon landscape, by greg rutkowski |                                                                 dslkfjvghkufdskvguedsgiuh;hoiuefdhpoiufds;hoij                 ||||||||||||",web-ui,2735031666,,txt2img,5,50,k_lms
00004-153_k_lms_1699885495_0,"a building in a serene  night on the moon landscape, by greg rutkowski | trending on artsation, digital art",web-ui,5554217633,,txt2img,5,153,k_lms
00007-153_k_lms_1699885495_0,"a building in a serene  night on the moon landscape, by greg rutkowski | trending on artsation, digital art",web-ui,4269019223,,txt2img,5,153,k_lms
00000-153_k_lms_2949567509_0,"a building in a serene  night on the moon landscape, by greg rutkowski | trending on artsation, digital art",web-ui,2949567509,,txt2img,5,153,k_lms
00002-153_k_lms_3682985303_0,"a building in a serene  night on the moon landscape, by greg rutkowski | trending on artsation, digital art",web-ui,3682985303,,txt2img,5,153,k_lms
00001-153_k_lms_387882126_0,"a building in a serene  night on the moon landscape, by greg rutkowski | trending on artsation, digital art",web-ui,387882126,,txt2img,5,153,k_lms
00005-153_k_lms_1699885495_0,"a building in a serene  night on the moon landscape, by greg rutkowski | trending on artsation, digital art",web-ui,2322168555,,txt2img,5,153,k_lms
00006-153_k_lms_1699885495_0,"a building in a serene  night on the moon landscape, by greg rutkowski | trending on artsation, digital art",web-ui,3609205137,,txt2img,5,153,k_lms
00003-153_k_lms_1699885495_0,"a building in a serene  night on the moon landscape, by greg rutkowski | trending on artsation, digital art",web-ui,1699885495,,txt2img,5,153,k_lms
00000-50_k_lms_3935735895_0,"A train subway inside a beautiful elven city made of white marble, anime, lush trees, fountain, statue, big clock, trains, a fantasy digital painting by Greg Rutkowski and James Gurney, trending on Artstation, highly detailed",web-ui,3935735895,,txt2img,7.5,50,k_lms
00001-50_k_lms_2698537854_0,"A train subway inside a beautiful elven city made of white marble, anime, lush trees, fountain, statue, big clock, trains, a fantasy digital painting by Greg Rutkowski and James Gurney, trending on Artstation, highly detailed",web-ui,2698537854,,txt2img,7.5,50,k_lms
00002-153_k_lms_3200354760_0,"a building in a serene  night on the moon landscape, by greg rutkowski |  jklfdshhsfdlkhdskajlfhigughbkjldfsb trading on artsation",web-ui,3200354760,,txt2img,5,153,k_lms
00000-153_k_lms_2570083189_0,"a building in a serene  night on the moon landscape, by greg rutkowski |  jklfdshhsfdlkhdskajlfhigughbkjldfsb trading on artsation",web-ui,2570083189,,txt2img,5,153,k_lms
00001-153_k_lms_201113948_0,"a building in a serene  night on the moon landscape, by greg rutkowski |  jklfdshhsfdlkhdskajlfhigughbkjldfsb trading on artsation",web-ui,201113948,,txt2img,5,153,k_lms
00004-50_k_lms_64059314_0,"cyberpunk metropolis, cinematic, highly detailed, octane render, rich cinematic atmosphere, perfect digital art, mystical journey in strange world, cyberpunk, sci - fi, surreal, glowing lights, sharp focus, high detailed, by akihiko yoshida, michael whelan and karol bak ",web-ui,64059314,,txt2img,-20,50,k_lms
00000-50_k_lms_730086666_0,"cyberpunk metropolis, cinematic, highly detailed, octane render, rich cinematic atmosphere, perfect digital art, mystical journey in strange world, cyberpunk, sci - fi, surreal, glowing lights, sharp focus, high detailed, by akihiko yoshida, michael whelan and karol bak ",web-ui,730086666,,txt2img,7.5,50,k_lms
00002-152_k_lms_300084450_0,"cyberpunk metropolis, cinematic, highly detailed, octane render, rich cinematic atmosphere, perfect digital art, mystical journey in strange world, cyberpunk, sci - fi, surreal, glowing lights, sharp focus, high detailed, by akihiko yoshida, michael whelan and karol bak ",web-ui,300084450,,txt2img,7.5,152,k_lms
00007-111_k_lms_3107920104_0,"cyberpunk metropolis, cinematic, highly detailed, octane render, rich cinematic atmosphere, perfect digital art, mystical journey in strange world, cyberpunk, sci - fi, surreal, glowing lights, sharp focus, high detailed, by akihiko yoshida, michael whelan and karol bak ",web-ui,3107920104,,txt2img,1.5,111,k_lms
00006-111_k_lms_140919680_0,"cyberpunk metropolis, cinematic, highly detailed, octane render, rich cinematic atmosphere, perfect digital art, mystical journey in strange world, cyberpunk, sci - fi, surreal, glowing lights, sharp focus, high detailed, by akihiko yoshida, michael whelan and karol bak ",web-ui,140919680,,txt2img,1.5,111,k_lms
00008-111_k_lms_4033835955_0,"cyberpunk metropolis, cinematic, highly detailed, octane render, rich cinematic atmosphere, perfect digital art, mystical journey in strange world, cyberpunk, sci - fi, surreal, glowing lights, sharp focus, high detailed, by akihiko yoshida, michael whelan and karol bak ",web-ui,4033835955,,txt2img,-1.5,111,k_lms
00005-111_k_lms_3570937827_0,"cyberpunk metropolis, cinematic, highly detailed, octane render, rich cinematic atmosphere, perfect digital art, mystical journey in strange world, cyberpunk, sci - fi, surreal, glowing lights, sharp focus, high detailed, by akihiko yoshida, michael whelan and karol bak ",web-ui,3570937827,,txt2img,-20,111,k_lms
00001-152_k_lms_16628167_0,"cyberpunk metropolis, cinematic, highly detailed, octane render, rich cinematic atmosphere, perfect digital art, mystical journey in strange world, cyberpunk, sci - fi, surreal, glowing lights, sharp focus, high detailed, by akihiko yoshida, michael whelan and karol bak ",web-ui,16628167,,txt2img,7.5,152,k_lms
00003-50_k_lms_2617463918_0,"cyberpunk metropolis, cinematic, highly detailed, octane render, rich cinematic atmosphere, perfect digital art, mystical journey in strange world, cyberpunk, sci - fi, surreal, glowing lights, sharp focus, high detailed, by akihiko yoshida, michael whelan and karol bak ",web-ui,2617463918,,txt2img,11,50,k_lms
00009-111_k_lms_2588489503_0,"cyberpunk metropolis, cinematic, highly detailed, octane render, rich cinematic atmosphere, perfect digital art, mystical journey in strange world, cyberpunk, sci - fi, surreal, glowing lights, sharp focus, high detailed, by akihiko yoshida, michael whelan and karol bak ",web-ui,2588489503,,txt2img,-1.5,111,k_lms
"00058-50_k_lms_4014028510_cyberpunk_female_having_sex_with_female,_in_heavy_rainning_futuristic_tokyo_rooftop_cyberpunk_night,_s","cyberpunk female having sex with female, in heavy rainning futuristic tokyo rooftop cyberpunk night, ssci-fi, fantasy, intricate, very very beautiful, elegant, neon light, highly detailed, digital painting, artstation, concept art, soft light, hdri, smooth, sharp focus, illustration, art by tian zi and craig mullins and WLOP and alphonse mucha",web-ui,4014028510,,txt2img,7.5,50,k_lms
"00025-157_k_lms_1219699488_nordic_fjord,_summer_morning_light,_aerial_view,_beautiful_landscape,_cinematic_light,_soft_illuminat","nordic fjord, summer morning light, aerial view, beautiful landscape, cinematic light, soft illumination, cinematic composition, wide - angle, atmospheric, oil painting, trending on artstation ",web-ui,1219699488,,txt2img,7.5,157,k_lms
"00018-157_k_lms_93174931_an_enchanted_forest_at_night_illuminated_by_glowing_mushrooms,_diffuse_lighting,_fantasy,_intricate,_su","an enchanted forest at night illuminated by glowing mushrooms, diffuse lighting, fantasy, intricate, surrealism!!!!, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, by greg rutkowski, chris tulloch mccabe, valentina remenar and asher duran, ",web-ui,93174931,,txt2img,7.5,157,k_lms
"00019-157_k_lms_2236579021_an_enchanted_forest_at_night_illuminated_by_glowing_mushrooms,_diffuse_lighting,_fantasy,_intricate,_","an enchanted forest at night illuminated by glowing mushrooms, diffuse lighting, fantasy, intricate, surrealism!!!!, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, by greg rutkowski, chris tulloch mccabe, valentina remenar and asher duran, ",web-ui,2236579021,,txt2img,7.5,157,k_lms
"00015-157_k_lms_3304331615_magnificent_clean_and_well-lit_sci-fi_facility_by_a_river_and_forest,_intricate,_elegant,_volumetric_","magnificent clean and well-lit sci-fi facility by a river and forest, intricate, elegant, volumetric lighting, digital painting, highly detailed, artstation, sharp focus, happy mood, illustration, concept art, ruan jia, steve mccurry",web-ui,3304331615,,txt2img,7.5,157,k_lms
00076-151_k_lms_2037139365_a_beautiful_watercolor_painting_of_a_white_landscape_in_the_style_of_paul_sandby_and_antonio_guidotti,"a beautiful watercolor painting of a white landscape in the style of paul sandby and antonio guidotti, gigantic mushroom cloud in the horizon, an angel standing still, ten indistinct human figures standing still, ash and meteors falling from the sky, 8 k, trending on artstation, pastel color scheme ",web-ui,2037139365,,txt2img,7.5,151,k_lms
"00068-152_k_lms_1751861066_concept_art_painting_of_a_ruin_of_blue_castle_with_asian_influence,_overlooking_a_valley,_three_suns_","concept art painting of a ruin of blue castle with asian influence, overlooking a valley, three suns at the sky, sunset, x - wings flying in the sky, realistic, star wars, detailed, cel shaded, in the style of greg rutkowski and albert bierstadt and james gurney ",web-ui,1751861066,,txt2img,7.5,152,k_lms
"00023-157_k_lms_614870156_Hyperrealism,_A_dystopian_future_world_made_of_post-its,_ray_tracing,_intricate_details,_environment_c","Hyperrealism, A dystopian future world made of post-its, ray tracing, intricate details, environment concept, artstation trending, 4k detail post processing, ultra detailed, cinematic",web-ui,614870156,,txt2img,7.5,157,k_lms
"00006-182_k_lms_2209206545_a_fantasy_meadow_landscape,_neil_gaiman_gods,_trending_on_art_station,_digital_painting,_4k","a fantasy meadow landscape, neil gaiman gods, trending on art station, digital painting, 4k",web-ui,2209206545,,txt2img,7.5,182,k_lms
"00021-157_k_lms_669232970_Hyperrealism,_A_dystopian_future_world_made_of_post-its,_ray_tracing,_intricate_details,_environment_c","Hyperrealism, A dystopian future world made of post-its, ray tracing, intricate details, environment concept, artstation trending, 4k detail post processing, ultra detailed, cinematic",web-ui,669232970,,txt2img,7.5,157,k_lms
"00019-157_k_lms_2236579021_an_enchanted_forest_at_night_illuminated_by_glowing_mushrooms,_diffuse_lighting,_fantasy,_intricate,_-esrgan4x","an enchanted forest at night illuminated by glowing mushrooms, diffuse lighting, fantasy, intricate, surrealism!!!!, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, by greg rutkowski, chris tulloch mccabe, valentina remenar and asher duran, ",web-ui,2236579021,,txt2img,7.5,157,k_lms
"00008-182_k_lms_1306264224_a_fantasy_meadow_landscape,_norse,_scifi,_trending_on_art_station,_digital_painting,_4k-esrgan4x","a fantasy meadow landscape, norse, scifi, trending on art station, digital painting, 4k",web-ui,1306264224,,txt2img,7.5,182,k_lms
"00066-152_k_lms_3382931910_annasophia_robb_as_aphrodite,_long_braided_blond_hair,_intricate,_highly_detailed,_digital_painting,_","annasophia robb as aphrodite, long braided blond hair, intricate, highly detailed, digital painting, artstation, concept art, sharp focus, illustration, bouguereau, rutkowski, mucha",web-ui,3382931910,,txt2img,7.5,152,k_lms
00074-151_k_lms_4105121139_a_beautiful_watercolor_painting_of_a_white_landscape_in_the_style_of_paul_sandby_and_antonio_guidotti,"a beautiful watercolor painting of a white landscape in the style of paul sandby and antonio guidotti, gigantic mushroom cloud in the horizon, an angel standing still, ten indistinct human figures standing still, ash and meteors falling from the sky, 8 k, trending on artstation, pastel color scheme ",web-ui,4105121139,,txt2img,7.5,151,k_lms
"00057-50_k_lms_1939921160_cyberpunk_female_having_sex_with_female,_in_heavy_rainning_futuristic_tokyo_rooftop_cyberpunk_night,_s","cyberpunk female having sex with female, in heavy rainning futuristic tokyo rooftop cyberpunk night, ssci-fi, fantasy, intricate, very very beautiful, elegant, neon light, highly detailed, digital painting, artstation, concept art, soft light, hdri, smooth, sharp focus, illustration, art by tian zi and craig mullins and WLOP and alphonse mucha",web-ui,1939921160,,txt2img,7.5,50,k_lms
"00054-151_k_lms_2110619890_giant_diarrhea_over_city_by_simon_stalenhag,_d_&_d,_fantasy,_digital_painting,_unreal_engine_5,_photo","giant diarrhea over city by simon stalenhag, d & d, fantasy, digital painting, unreal engine 5, photorealism, hd quality, 8 k resolution, cinema 4 d, 3 d, cinematic, professional photography, art by artgerm and greg rutkowski and alphonse mucha and loish and wlop ",web-ui,2110619890,,txt2img,5,151,k_lms
"00063-50_k_lms_3857372628_portrait_cyberpunk_female_having_sex_with_female,_porno","portrait cyberpunk female having sex with female, porno",web-ui,3857372628,,txt2img,7.5,50,k_lms
00060-50_k_lms_4171458092_cyberpunk_female_having_sex_with_female,cyberpunk female having sex with female,web-ui,4171458092,,txt2img,7.5,50,k_lms
"00064-152_k_lms_4273916358_annasophia_robb_as_aphrodite,_long_braided_blond_hair,_intricate,_highly_detailed,_digital_painting,_","annasophia robb as aphrodite, long braided blond hair, intricate, highly detailed, digital painting, artstation, concept art, sharp focus, illustration, bouguereau, rutkowski, mucha",web-ui,4273916358,,txt2img,7.5,152,k_lms
"00073-50_k_lms_484734312_Painting_by_Greg_Rutkowski,_at_night_a_big_ceramic_jug_with_gold_ornaments_flies_high_in_the_night_dark","Painting by Greg Rutkowski, at night a big ceramic jug with gold ornaments flies high in the night dark blue sky above a small village with white houses under thatched roofs, stars in the sky, rich picturesque colors",web-ui,484734312,,txt2img,7.5,50,k_lms
"00017-157_k_lms_846147600_magnificent_clean_and_well-lit_sci-fi_facility_by_a_river_and_forest,_intricate,_elegant,_volumetric_l-esrgan4x","magnificent clean and well-lit sci-fi facility by a river and forest, intricate, elegant, volumetric lighting, digital painting, highly detailed, artstation, sharp focus, happy mood, illustration, concept art, ruan jia, steve mccurry",web-ui,846147600,,txt2img,7.5,157,k_lms
00075-151_k_lms_3758546512_a_beautiful_watercolor_painting_of_a_white_landscape_in_the_style_of_paul_sandby_and_antonio_guidotti,"a beautiful watercolor painting of a white landscape in the style of paul sandby and antonio guidotti, gigantic mushroom cloud in the horizon, an angel standing still, ten indistinct human figures standing still, ash and meteors falling from the sky, 8 k, trending on artstation, pastel color scheme ",web-ui,3758546512,,txt2img,7.5,151,k_lms
"00020-157_k_lms_1804624663_an_enchanted_forest_at_night_illuminated_by_glowing_mushrooms,_diffuse_lighting,_fantasy,_intricate,_","an enchanted forest at night illuminated by glowing mushrooms, diffuse lighting, fantasy, intricate, surrealism!!!!, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, by greg rutkowski, chris tulloch mccabe, valentina remenar and asher duran, ",web-ui,1804624663,,txt2img,7.5,157,k_lms
"00078-151_k_lms_1249876568_a_expressive_portrait_of_masked_diesel_punk_robot_in_dramatic_lighting,_depth_of_field_background,_ar","a expressive portrait of masked diesel punk robot in dramatic lighting, depth of field background, artstation, award - winning realistic sci - fi concept art by jim burns and greg rutkowski, beksinski, a realism masterpiece, expressive color palette, james gilleard, bruegel, alphonse mucha, and yoshitaka amano ",web-ui,1249876568,,txt2img,7.5,151,k_lms
"00009-182_k_lms_519415038_a_fantasy_meadow_landscape,_norse,_scifi,_trending_on_art_station,_digital_painting,_4k","a fantasy meadow landscape, norse, scifi, trending on art station, digital painting, 4k",web-ui,519415038,,txt2img,7.5,182,k_lms
"00018-157_k_lms_93174931_an_enchanted_forest_at_night_illuminated_by_glowing_mushrooms,_diffuse_lighting,_fantasy,_intricate,_su-esrgan4x","an enchanted forest at night illuminated by glowing mushrooms, diffuse lighting, fantasy, intricate, surrealism!!!!, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, by greg rutkowski, chris tulloch mccabe, valentina remenar and asher duran, ",web-ui,93174931,,txt2img,7.5,157,k_lms
"00022-157_k_lms_857059599_Hyperrealism,_A_dystopian_future_world_made_of_post-its,_ray_tracing,_intricate_details,_environment_c-esrgan4x","Hyperrealism, A dystopian future world made of post-its, ray tracing, intricate details, environment concept, artstation trending, 4k detail post processing, ultra detailed, cinematic",web-ui,857059599,,txt2img,7.5,157,k_lms
00061-50_k_lms_2869843275_cyberpunk_female_having_sex_with_female,cyberpunk female having sex with female,web-ui,2869843275,,txt2img,7.5,50,k_lms
"00021-157_k_lms_669232970_Hyperrealism,_A_dystopian_future_world_made_of_post-its,_ray_tracing,_intricate_details,_environment_c-esrgan4x","Hyperrealism, A dystopian future world made of post-its, ray tracing, intricate details, environment concept, artstation trending, 4k detail post processing, ultra detailed, cinematic",web-ui,669232970,,txt2img,7.5,157,k_lms
"00056-50_k_lms_263069863_futuristic_kawaii_cyberpunk_female_having_sex,_in_heavy_rainning_futuristic_tokyo_rooftop_cyberpunk_nig","futuristic kawaii cyberpunk female having sex, in heavy rainning futuristic tokyo rooftop cyberpunk night, ssci-fi, fantasy, intricate, very very beautiful, elegant, neon light, highly detailed, digital painting, artstation, concept art, soft light, hdri, smooth, sharp focus, illustration, art by tian zi and craig mullins and WLOP and alphonse mucha",web-ui,263069863,,txt2img,7.5,50,k_lms
"00007-182_k_lms_3680453441_a_fantasy_meadow_landscape,_neil_gaiman_gods,_trending_on_art_station,_digital_painting,_4k","a fantasy meadow landscape, neil gaiman gods, trending on art station, digital painting, 4k",web-ui,3680453441,,txt2img,7.5,182,k_lms
00062-50_k_lms_2267385442_portrait_cyberpunk_female_having_sex_with_female,portrait cyberpunk female having sex with female,web-ui,2267385442,,txt2img,7.5,50,k_lms
"00071-152_k_lms_3379431576_Hyper_realistic_devil_holding_a_person_in_a_cage,_intricate,_elegant,_highly_detailed,_digital_painti","Hyper realistic devil holding a person in a cage, intricate, elegant, highly detailed, digital painting, artstation, concept art, sharp focus, illustration, colorful, vibrante colors, art by Greg rutkowski",web-ui,3379431576,,txt2img,7.5,152,k_lms
"00017-157_k_lms_846147600_magnificent_clean_and_well-lit_sci-fi_facility_by_a_river_and_forest,_intricate,_elegant,_volumetric_l","magnificent clean and well-lit sci-fi facility by a river and forest, intricate, elegant, volumetric lighting, digital painting, highly detailed, artstation, sharp focus, happy mood, illustration, concept art, ruan jia, steve mccurry",web-ui,846147600,,txt2img,7.5,157,k_lms
"00016-157_k_lms_2948680123_magnificent_clean_and_well-lit_sci-fi_facility_by_a_river_and_forest,_intricate,_elegant,_volumetric_-esrgan4x","magnificent clean and well-lit sci-fi facility by a river and forest, intricate, elegant, volumetric lighting, digital painting, highly detailed, artstation, sharp focus, happy mood, illustration, concept art, ruan jia, steve mccurry",web-ui,2948680123,,txt2img,7.5,157,k_lms
"00015-157_k_lms_3304331615_magnificent_clean_and_well-lit_sci-fi_facility_by_a_river_and_forest,_intricate,_elegant,_volumetric_-esrgan4x","magnificent clean and well-lit sci-fi facility by a river and forest, intricate, elegant, volumetric lighting, digital painting, highly detailed, artstation, sharp focus, happy mood, illustration, concept art, ruan jia, steve mccurry",web-ui,3304331615,,txt2img,7.5,157,k_lms
"00014-157_k_lms_2255288039_medieval_gothic_city_with_castle_on_top_of_the_hill,_symetrical,_very_detailed,_beautiful,_intricate,","medieval gothic city with castle on top of the hill, symetrical, very detailed, beautiful, intricate, cinematic, artstation, william bouguereau, alphonse mucha, greg rutkowski, highly detailed 4 k art, sharp focus, smooth, hd ",web-ui,2255288039,,txt2img,7.5,157,k_lms
"00008-182_k_lms_1306264224_a_fantasy_meadow_landscape,_norse,_scifi,_trending_on_art_station,_digital_painting,_4k","a fantasy meadow landscape, norse, scifi, trending on art station, digital painting, 4k",web-ui,1306264224,,txt2img,7.5,182,k_lms
"00016-157_k_lms_2948680123_magnificent_clean_and_well-lit_sci-fi_facility_by_a_river_and_forest,_intricate,_elegant,_volumetric_","magnificent clean and well-lit sci-fi facility by a river and forest, intricate, elegant, volumetric lighting, digital painting, highly detailed, artstation, sharp focus, happy mood, illustration, concept art, ruan jia, steve mccurry",web-ui,2948680123,,txt2img,7.5,157,k_lms
"00079-151_k_lms_3696909324_a_expressive_portrait_of_masked_diesel_punk_robot_in_dramatic_lighting,_depth_of_field_background,_ar","a expressive portrait of masked diesel punk robot in dramatic lighting, depth of field background, artstation, award - winning realistic sci - fi concept art by jim burns and greg rutkowski, beksinski, a realism masterpiece, expressive color palette, james gilleard, bruegel, alphonse mucha, and yoshitaka amano ",web-ui,3696909324,,txt2img,7.5,151,k_lms
"00024-157_k_lms_2151647186_nordic_fjord,_summer_morning_light,_aerial_view,_beautiful_landscape,_cinematic_light,_soft_illuminat","nordic fjord, summer morning light, aerial view, beautiful landscape, cinematic light, soft illumination, cinematic composition, wide - angle, atmospheric, oil painting, trending on artstation ",web-ui,2151647186,,txt2img,7.5,157,k_lms
"00059-50_k_lms_3427773677_cyberpunk_female_having_sex_with_female,_in_heavy_rainning_futuristic_tokyo_rooftop_cyberpunk_night,_s","cyberpunk female having sex with female, in heavy rainning futuristic tokyo rooftop cyberpunk night, ssci-fi, fantasy, intricate, very very beautiful, elegant, neon light, highly detailed, digital painting, artstation, concept art, soft light, hdri, smooth, sharp focus, illustration, art by tian zi and craig mullins and WLOP and alphonse mucha",web-ui,3427773677,,txt2img,7.5,50,k_lms
"00065-152_k_lms_2829812926_annasophia_robb_as_aphrodite,_long_braided_blond_hair,_intricate,_highly_detailed,_digital_painting,_","annasophia robb as aphrodite, long braided blond hair, intricate, highly detailed, digital painting, artstation, concept art, sharp focus, illustration, bouguereau, rutkowski, mucha",web-ui,2829812926,,txt2img,7.5,152,k_lms
"00055-50_k_lms_1669954735_futuristic_kawaii_cyberpunk_female_sex,_in_heavy_rainning_futuristic_tokyo_rooftop_cyberpunk_night,_ss","futuristic kawaii cyberpunk female sex, in heavy rainning futuristic tokyo rooftop cyberpunk night, ssci-fi, fantasy, intricate, very very beautiful, elegant, neon light, highly detailed, digital painting, artstation, concept art, soft light, hdri, smooth, sharp focus, illustration, art by tian zi and craig mullins and WLOP and alphonse mucha",web-ui,1669954735,,txt2img,7.5,50,k_lms
"00072-152_k_lms_1585462059_Hyper_realistic_devil_holding_a_person_in_a_cage,_intricate,_elegant,_highly_detailed,_digital_painti","Hyper realistic devil holding a person in a cage, intricate, elegant, highly detailed, digital painting, artstation, concept art, sharp focus, illustration, colorful, vibrante colors, art by Greg rutkowski",web-ui,1585462059,,txt2img,7.5,152,k_lms
"00024-157_k_lms_2151647186_nordic_fjord,_summer_morning_light,_aerial_view,_beautiful_landscape,_cinematic_light,_soft_illuminat-esrgan4x","nordic fjord, summer morning light, aerial view, beautiful landscape, cinematic light, soft illumination, cinematic composition, wide - angle, atmospheric, oil painting, trending on artstation ",web-ui,2151647186,,txt2img,7.5,157,k_lms
"00067-152_k_lms_3599295557_concept_art_painting_of_a_ruin_of_blue_castle_with_asian_influence,_overlooking_a_valley,_three_suns_","concept art painting of a ruin of blue castle with asian influence, overlooking a valley, three suns at the sky, sunset, x - wings flying in the sky, realistic, star wars, detailed, cel shaded, in the style of greg rutkowski and albert bierstadt and james gurney ",web-ui,3599295557,,txt2img,7.5,152,k_lms
